Title,Detail_price,Highlights,Other_Details,description,Teams_conditions,images_all
Campus - CAMP-VISION Off White Men's Sports Running Shoes,975,"Campus,Color:Off White,Shoe Weight:Medium Weight(600 gms to 999 gms),Manufacturer's Name & Address:Campus Activewear Ltd. D-1, Udyog Nagar, Main Rohtak Road,New Delhi - 110041,Sole Material:TPU,Closure:Lace-Up,Cushioning:Medium,Outer Material:Mesh,SUPC: SDL493979708","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1  ,Manufacturer's Name & Address,Campus Activewear Ltd. D-1, Udyog Nagar, Main Rohtak Road,New Delhi - 110041  ,Packer's Name & Address,Campus Activewear Ltd. D-1, Udyog Nagar, Main Rohtak Road,New Delhi - 110041  ,Marketer's Name & Address, ,Importer's Name & Address,Campus Activewear Ltd. D-1, Udyog Nagar, Main Rohtak Road,New Delhi - 110041  ","
Sharp in design, this running shoe is made of lightweight, single layer mesh for breathability and soft foam beneath the foot for revolutionary comfort and responsiveness. Dynamic fit upper and full length TPU out-sole deliver responsive cushioning and durable traction. It's molded pods offer multisurface traction. Pods flatten on impact then spring back at takeoff creating a piston effect that delivers responsive cushioning.",The images represent actual product though color of the image and product may slightly differ.,"https://n1.sdlcdn.com/imgs/k/k/o/Campus-CAMP-VISION-Off-White-SDL493979708-2-678de.jpg,https://n2.sdlcdn.com/imgs/k/k/o/Campus-CAMP-VISION-Off-White-SDL493979708-3-a0c19.jpg,https://n3.sdlcdn.com/imgs/k/k/o/Campus-CAMP-VISION-Off-White-SDL493979708-4-a5a76.jpg,https://n1.sdlcdn.com/imgs/k/k/o/Campus-CAMP-VISION-Off-White-SDL493979708-5-93751.jpg,https://n1.sdlcdn.com/imgs/k/k/o/Campus-CAMP-VISION-Off-White-SDL493979708-6-ddd0d.jpg"
Aqualite - Gray Men's Sports Running Shoes,575,"Aqualite,Color:Gray,Manufacturer's Name & Address:Aqualite Industries Pvt.Ltd; PLOT NO. 18B, BLOCK A-1, Paschim Vihar,Delhi, West Delhi, India, 110063,Sole Material:TPR,Closure:Strap,Key Features:Lightweight,SUPC: SDL795596972","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1 Pair Of Aqualite Shoe  ,Manufacturer's Name & Address,Aqualite Industries Pvt.Ltd; PLOT NO. 18B, BLOCK A-1, Paschim Vihar,Delhi, West Delhi, India, 110063  ,Packer's Name & Address,Aqualite Industries Pvt.Ltd; PLOT NO. 18B, BLOCK A-1, Paschim Vihar,Delhi, West Delhi, India, 110063  ,Marketer's Name & Address, ,Importer's Name & Address,Aqualite Industries Pvt.Ltd; PLOT NO. 18B, BLOCK A-1, Paschim Vihar,Delhi, West Delhi, India, 110063  ","
","
	This pair of Running Shoe from Aqualite is comfortable and trendy.Made from superior quality material it gives you a nice feeling while walking and allows you to wear it all day long.Team it with shorts or jeans and a T-shirt as you head out on weekends.,The images represent actual product though color of the image and product may slightly differ.","https://n2.sdlcdn.com/imgs/k/e/6/Aqualite-Gray-Men-s-Sneakers-SDL795596972-3-f0c67.jpg,https://n2.sdlcdn.com/imgs/k/e/6/Aqualite-Gray-Men-s-Sneakers-SDL795596972-2-ad9ab.jpg,https://n3.sdlcdn.com/imgs/k/e/6/Aqualite-Gray-Men-s-Sneakers-SDL795596972-4-0d879.jpg,https://n4.sdlcdn.com/imgs/k/e/6/Aqualite-Gray-Men-s-Sneakers-SDL795596972-6-9e942.jpg,https://n3.sdlcdn.com/imgs/k/e/6/Aqualite-Gray-Men-s-Sneakers-SDL795596972-5-95c13.jpg"
Campus - ROCKET PRO Gray Men's Sports Running Shoes,999,"Campus,Color:Gray,Shoe Weight:Medium Weight(600 gms to 999 gms),Manufacturer's Name & Address:Campus Activewear Limited D-1, Udyog Nagar, Rohtak Road, Delhi, 110041,Sole Material:Phylon,Closure:Lace-Up,Cushioning:Medium,Outer Material:Mesh,BIS/ISI License number:NA,BIS/ISI required:NA,Model Name:ROCKET PRO,SUPC: SDL172475933","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1  ,Manufacturer's Name & Address,Campus Activewear Limited D-1, Udyog Nagar, Rohtak Road, Delhi, 110041  ,Packer's Name & Address,Campus Activewear Limited D-1, Udyog Nagar, Rohtak Road, Delhi, 110041  ,Marketer's Name & Address,Campus Activewear Limited D-1, Udyog Nagar, Rohtak Road, Delhi, 110041  ,Importer's Name & Address,Campus Activewear Limited D-1, Udyog Nagar, Rohtak Road, Delhi, 110041  ","
",The images represent actual product though color of the image and product may slightly differ.,"https://n3.sdlcdn.com/imgs/k/n/a/Campus-ROCKET-PRO-Gray-Men-SDL172475933-2-4b8af.jpg,https://n3.sdlcdn.com/imgs/k/n/a/Campus-ROCKET-PRO-Gray-Men-SDL172475933-3-031d0.jpg,https://n4.sdlcdn.com/imgs/k/n/a/Campus-ROCKET-PRO-Gray-Men-SDL172475933-4-35e27.jpg,https://n2.sdlcdn.com/imgs/k/n/a/Campus-ROCKET-PRO-Gray-Men-SDL172475933-5-fbaa1.jpg,https://n3.sdlcdn.com/imgs/k/n/a/Campus-ROCKET-PRO-Gray-Men-SDL172475933-6-db643.jpg"
Nicholas Jake Black Running Shoes,599,"Color:Black,Shoe Weight:Lightweight(300 gms to 599 gms),Manufacturer's Name & Address:Zoomtech Industries, C-85A, Noida, U.P,SUPC: SDL081057909","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,Zoomtech Industries, C-85A, Noida, U.P  ,Packer's Name & Address,Zoomtech Industries, C-85A, Noida, U.P  ,Marketer's Name & Address,Zoomtech Industries, C-85A, Noida, U.P  ,Importer's Name & Address,Zoomtech Industries, C-85A, Noida, U.P  ","
Nicholas Jake-BLack, Running, Walking, jogging, Hiking, Latest and Trending  Men Shoes.",The images represent actual product though color of the image and product may slightly differ.,"https://n1.sdlcdn.com/imgs/k/d/y/Nicholas-Jake-Black-Running-Shoes-SDL081057909-2-a22d0.jpeg,https://n4.sdlcdn.com/imgs/k/d/y/Nicholas-Jake-Black-Running-Shoes-SDL081057909-3-1fe96.jpeg,https://n4.sdlcdn.com/imgs/k/d/y/Nicholas-Jake-Black-Running-Shoes-SDL081057909-4-b0718.jpeg,https://n3.sdlcdn.com/imgs/k/d/y/Nicholas-Jake-Black-Running-Shoes-SDL081057909-5-ca14e.jpeg"
Campus IMPULSE Grey Men's Sports Running Shoes,899,"Campus,Color: Gray,Running Type: Road,Outer Material:,Closure: Lace-Up,Cushioning: Medium,The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.,SUPC: SDL927658122","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1-PAIR  ,Manufacturer's Name & Address,Campus Activewear Pvt. Ltd.D-1, Udyog Nagar, Main Rohtak Road, New Delhi - 110041  ,Packer's Name & Address,Campus Activewear Pvt. Ltd.D-1, Udyog Nagar, Main Rohtak Road, New Delhi - 110041  ,Marketer's Name & Address,Campus Activewear Pvt. Ltd.  ,Importer's Name & Address,Campus Activewear Pvt. Ltd.D-1, Udyog Nagar, Main Rohtak Road, New Delhi - 110041  ","
"" Impulse comes with a minimal design, the running shoe is made of lightweight, single layer mesh for breathability and soft foam beneath the foot for revolutionary comfort and responsiveness. Dynamic fit upper and full length rubber out-sole deliver responsive cushioning and durable traction. It's molded pods offer multisurface traction. Pods flatten on impact then spring back at takeoff creating a piston effect that delivers responsive cushioning.  """,The images represent actual product though color of the image and product may slightly differ.,"https://n3.sdlcdn.com/imgs/j/s/f/Campus-IMPULSE-Gray-Running-Shoes-SDL927658122-2-339a1.jpeg,https://n2.sdlcdn.com/imgs/j/s/f/Campus-IMPULSE-Gray-Running-Shoes-SDL927658122-3-a6b57.jpeg,https://n2.sdlcdn.com/imgs/j/s/f/Campus-IMPULSE-Gray-Running-Shoes-SDL927658122-4-3eae4.jpeg,https://n3.sdlcdn.com/imgs/j/s/f/Campus-IMPULSE-Gray-Running-Shoes-SDL927658122-5-05209.jpeg"
Impakto Gray Running Shoes,799,"Color:Gray,Shoe Weight:Heavy Weight(>1kg),Manufacturer's Name & Address:Ajanta Footcare India Pvt Ltd(79/2,A.J.C Bose Road,Kolkata-700014),SUPC: SDL204165546","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,Ajanta Footcare India Pvt Ltd(79/2,A.J.C Bose Road,Kolkata-700014)  ,Packer's Name & Address,Ajanta Footcare India Pvt Ltd(79/2,A.J.C Bose Road,Kolkata-700014)  ,Marketer's Name & Address, ,Importer's Name & Address,Ajanta Footcare India Pvt Ltd(79/2,A.J.C Bose Road,Kolkata-700014)  ","
Impakto by Ajanta presents you these stylish sports shoes that  are the perfect inspiration for a fashionable look. The comfortable sole makes sure that your feet stays comfortable throughout the day and you enjoy optimal grip. Designed to offer comfort at its best, without compromising on style.",The images represent actual product though color of the image and product may slightly differ.,"https://n3.sdlcdn.com/imgs/k/c/n/Impakto-Gray-Running-Shoes-SDL204165546-2-70fa8.jpg,https://n1.sdlcdn.com/imgs/k/c/n/Impakto-Gray-Running-Shoes-SDL204165546-3-500a1.jpg,https://n3.sdlcdn.com/imgs/k/c/n/Impakto-Gray-Running-Shoes-SDL204165546-4-6d10c.jpg,https://n4.sdlcdn.com/imgs/k/c/n/Impakto-Gray-Running-Shoes-SDL204165546-5-25a02.jpg"
Campus TIGOR Navy  Men's Sports Running Shoes,875,"Campus,Color: Navy,Running Type: Road,Outer Material:,Closure: Lace-Up,Cushioning: Medium,The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.,SUPC: SDL448579447","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1 pair OF SHOES  ,Manufacturer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi - 110041  ,Packer's Name & Address, ,Marketer's Name & Address, ,Importer's Name & Address, ","
",The images represent actual product though color of the image and product may slightly differ.,"https://n2.sdlcdn.com/imgs/j/d/f/Campus-TIGOR-Navy-Running-Shoes-SDL448579447-2-9fae7.jpeg,https://n4.sdlcdn.com/imgs/j/d/f/Campus-TIGOR-Navy-Running-Shoes-SDL448579447-3-92c1b.jpeg,https://n1.sdlcdn.com/imgs/j/d/f/Campus-TIGOR-Navy-Running-Shoes-SDL448579447-4-1f194.jpeg,https://n3.sdlcdn.com/imgs/j/d/f/Campus-TIGOR-Navy-Running-Shoes-SDL448579447-5-63dda.jpeg,https://n3.sdlcdn.com/imgs/j/d/f/Campus-TIGOR-Navy-Running-Shoes-SDL448579447-6-be2d0.jpeg"
Campus TITANIUM Grey Men's Sports Running Shoes,875,"Campus,Color: Gray,Running Type: Road,Outer Material:,Closure: Lace-Up,Cushioning: Medium,The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.,SUPC: SDL414690048","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1 pair  ,Manufacturer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ,Packer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ,Marketer's Name & Address,Campus Activewear Pvt. Ltd.  ,Importer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ","
These Trent BREATHABLE INSOLE  strike a cool yet comfortable note with air ventilation feature platform. Constructed from smooth zero moisture material making your foot feel the air with its cooling feature.",The images represent actual product though color of the image and product may slightly differ.,"https://n4.sdlcdn.com/imgs/j/w/8/Campus-TITANIUM-Gray-Running-Shoes-SDL414690048-2-bfc2c.jpeg,https://n2.sdlcdn.com/imgs/j/w/8/Campus-TITANIUM-Gray-Running-Shoes-SDL414690048-3-0a31f.jpeg,https://n1.sdlcdn.com/imgs/j/w/8/Campus-TITANIUM-Gray-Running-Shoes-SDL414690048-4-51b18.jpeg,https://n2.sdlcdn.com/imgs/j/w/8/Campus-TITANIUM-Gray-Running-Shoes-SDL414690048-5-8dae7.jpeg,https://n1.sdlcdn.com/imgs/j/w/8/Campus-TITANIUM-Gray-Running-Shoes-SDL414690048-6-a3049.jpeg"
Campus RADIUM Blue Running Shoes,2221,"Color:Blue,Shoe Weight:Light Weight,Manufacturer's Name & Address:Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041,SUPC: SDL426637642","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ,Packer's Name & Address,Campus Activewear Pvt. Ltd.  ,Marketer's Name & Address,Campus Activewear Pvt. Ltd.  ,Importer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ","
Ensure complete foot protection while you run by wearing this pair from Campus. The use of updated technology and TPR sole makes the shoe crack resistant and Yoga Max insole provides the required support and stability to your feet with comfort and durability. The sturdy textile upper keeps your feet comfortable and ensures durability and allows you to indulge in your running sessions for long periods. ",The images represent actual product though color of the image and product may slightly differ.,"https://n2.sdlcdn.com/imgs/k/d/v/Campus-RADIUM-Blue-Running-Shoes-SDL426637642-2-a29ca.jpeg,https://n1.sdlcdn.com/imgs/k/d/v/Campus-RADIUM-Blue-Running-Shoes-SDL426637642-3-c8a7a.jpeg,https://n1.sdlcdn.com/imgs/k/d/v/Campus-RADIUM-Blue-Running-Shoes-SDL426637642-4-dbaa7.jpeg,https://n1.sdlcdn.com/imgs/k/d/v/Campus-RADIUM-Blue-Running-Shoes-SDL426637642-5-dde6a.jpeg,https://n2.sdlcdn.com/imgs/k/d/v/Campus-RADIUM-Blue-Running-Shoes-SDL426637642-6-9ede3.jpeg"
Campus HOT-RIDE Black  Men's Sports Running Shoes,1099,"Campus,Color: Black,Running Type: Road,Outer Material:,Closure: Lace-Up,Cushioning: Medium,The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.,SUPC: SDL700175521","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi - 110041  ,Packer's Name & Address, ,Marketer's Name & Address, ,Importer's Name & Address, ","
",The images represent actual product though color of the image and product may slightly differ.,"https://n4.sdlcdn.com/imgs/i/1/o/Campus-HOT-RIDE-Black-Running-SDL700175521-2-cb361.jpg,https://n1.sdlcdn.com/imgs/i/1/o/Campus-HOT-RIDE-Black-Running-SDL700175521-3-a7069.JPG,https://n1.sdlcdn.com/imgs/i/1/o/Campus-HOT-RIDE-Black-Running-SDL700175521-4-f3775.JPG,https://n3.sdlcdn.com/imgs/i/1/o/Campus-HOT-RIDE-Black-Running-SDL700175521-5-fa07c.jpg"
Columbus Black Running Shoes,999,"Color:Black,Shoe Weight:Medium Weight,Manufacturer's Name & Address:COLUMBUS MARKETING PVT.LTD.,SUPC: SDL989741030","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,COLUMBUS MARKETING PVT.LTD.  ,Packer's Name & Address,GODOWN AT NEW PLOT NO-D-40 ( OLD NO-40 ),KH.NO-31/7 MEERA ENCLAVE NANGLOI -110041  ,Marketer's Name & Address, ,Importer's Name & Address,COLUMBUS MARKETING PVT.LTD.  ","
",The images represent actual product though color of the image and product may slightly differ.,"https://n1.sdlcdn.com/imgs/k/d/x/Columbus-Black-Running-Shoes-SDL989741030-2-d611b.jpg,https://n4.sdlcdn.com/imgs/k/d/x/Columbus-Black-Running-Shoes-SDL989741030-3-e8621.jpg,https://n1.sdlcdn.com/imgs/k/d/x/Columbus-Black-Running-Shoes-SDL989741030-4-b5126.jpg"
ASIAN  Black  Men's Sports Running Shoes,649,"ASIAN,Color: Black,Running Type: Track,Outer Material: Textile,Closure: Slip-On,Cushioning: Medium,Sole Material: EVA,The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.,BIS/ISI License number:NA,BIS/ISI required:NA,SUPC: SDL435534275","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1 Pair  ,Manufacturer's Name & Address,Asian Footwear Pvt Ltd  ,Packer's Name & Address,Asian retail Ventures  ,Marketer's Name & Address, ,Importer's Name & Address,Not Applicable  ","
""Lightweight & Breathable: Exclusive design and durable materials every step feels light and breezy. Breathable, free-moving fabrics which adjust according to your foot and creates an astoundingly easy-going experience. ",The images represent actual product though color of the image and product may slightly differ.,"https://n3.sdlcdn.com/imgs/j/s/7/ASIAN-Lifestyle-Black-Casual-Shoes-SDL435534275-2-c7860.jpg,https://n2.sdlcdn.com/imgs/j/s/7/ASIAN-Lifestyle-Black-Casual-Shoes-SDL435534275-3-64541.jpg,https://n1.sdlcdn.com/imgs/j/s/7/ASIAN-Lifestyle-Black-Casual-Shoes-SDL435534275-4-ac6d6.jpg,https://n1.sdlcdn.com/imgs/j/s/7/ASIAN-Lifestyle-Black-Casual-Shoes-SDL435534275-5-50969.jpg,https://n4.sdlcdn.com/imgs/j/s/7/ASIAN-Lifestyle-Black-Casual-Shoes-SDL435534275-6-42719.jpg,https://n2.sdlcdn.com/imgs/j/s/7/ASIAN-Lifestyle-Black-Casual-Shoes-SDL435534275-7-e077a.jpg,https://n1.sdlcdn.com/imgs/j/s/7/ASIAN-Lifestyle-Black-Casual-Shoes-SDL435534275-8-a2ba2.jpg,https://n2.sdlcdn.com/imgs/j/s/7/ASIAN-Lifestyle-Black-Casual-Shoes-SDL435534275-9-394a9.jpg"
Liberty BRISK-01 Navy Running Shoes,1799,"Color:Navy,Shoe Weight:Light Weight,Manufacturer's Name & Address:Liberty Shoes Ltd, 17th Milestone, Gharaunda - Karnal PO Box 103, Karnal 132001 ( HR ),SUPC: SDL660558050","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,Liberty Shoes Ltd, 17th Milestone, Gharaunda - Karnal PO Box 103, Karnal 132001 ( HR )  ,Packer's Name & Address,Liberty Shoes Ltd, 17th Milestone, Gharaunda - Karnal PO Box 103, Karnal 132001 ( HR )  ,Marketer's Name & Address, ,Importer's Name & Address,NA  ","
",The images represent actual product though color of the image and product may slightly differ.,"https://n3.sdlcdn.com/imgs/k/e/f/Liberty-BRISK-01-Navy-Running-SDL660558050-2-a4dfc.jpg,https://n1.sdlcdn.com/imgs/k/e/f/Liberty-BRISK-01-Navy-Running-SDL660558050-3-2f7ff.jpg,https://n4.sdlcdn.com/imgs/k/e/f/Liberty-BRISK-01-Navy-Running-SDL660558050-4-32910.jpg,https://n1.sdlcdn.com/imgs/k/e/f/Liberty-BRISK-01-Navy-Running-SDL660558050-5-1df13.jpg,https://n1.sdlcdn.com/imgs/k/e/f/Liberty-BRISK-01-Navy-Running-SDL660558050-6-e4ca5.jpg,https://n3.sdlcdn.com/imgs/k/e/f/Liberty-BRISK-01-Navy-Running-SDL660558050-7-fbeaa.jpg"
Campus Synder Black Running Shoes,899,"Color:Black,Shoe Weight:Light Weight,Manufacturer's Name & Address:Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041,SUPC: SDL021964123","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ,Packer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ,Marketer's Name & Address,Campus Activewear Pvt. Ltd.  ,Importer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ","
These dynamic running shoes for men offer outstanding traction, cushioning and fit that's tailored to the streets. It is built using moulding that follows the shape of the foot for a supportive, locked-in feel. A wide forefoot delivers increased surface contact for added stability, and a grippy rubber outsole is ideal for dodging urban obstacles.",The images represent actual product though color of the image and product may slightly differ.,"https://n3.sdlcdn.com/imgs/j/u/y/Campus-Synder-Black-Running-Shoes-SDL021964123-2-94e58.jpg,https://n1.sdlcdn.com/imgs/j/u/y/Campus-Synder-Black-Running-Shoes-SDL021964123-3-a0d4e.jpg,https://n3.sdlcdn.com/imgs/j/u/y/Campus-Synder-Black-Running-Shoes-SDL021964123-4-eb4f2.jpg,https://n2.sdlcdn.com/imgs/j/u/y/Campus-Synder-Black-Running-Shoes-SDL021964123-5-08711.jpg,https://n1.sdlcdn.com/imgs/j/u/y/Campus-Synder-Black-Running-Shoes-SDL021964123-6-a6a29.jpg"
Campus RUNNER Blue  Men's Sports Running Shoes,849,"Campus,Color: Blue,Running Type: Road,Outer Material: Mesh,Closure: Lace-Up,Cushioning: Medium,Sole Material: EVA,The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship.,SUPC: SDL608865492","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Manufacturer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ,Packer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ,Marketer's Name & Address,Campus Activewear Pvt. Ltd.  ,Importer's Name & Address,Campus Activewear Pvt. Ltd. D-1, Udyog Nagar, Main Rohtak Road, New Delhi-110041  ","
This Campus collection will upgrade your style definition with updated technology and trendy designs. The use of EVA in the sole and Mesh in the upper material makes the shoe well structured and breathable. It has 5% more cushioning than a usual sole for your easy and long walk.",The images represent actual product though color of the image and product may slightly differ.,"https://n2.sdlcdn.com/imgs/k/c/t/Campus-RUNNER-Blue-Running-Shoes-SDL608865492-2-78b7f.jpg,https://n3.sdlcdn.com/imgs/k/c/t/Campus-RUNNER-Blue-Running-Shoes-SDL608865492-3-9b739.jpg,https://n4.sdlcdn.com/imgs/k/c/t/Campus-RUNNER-Blue-Running-Shoes-SDL608865492-4-54768.jpg,https://n4.sdlcdn.com/imgs/k/c/t/Campus-RUNNER-Blue-Running-Shoes-SDL608865492-5-020e6.jpg,https://n4.sdlcdn.com/imgs/k/c/t/Campus-RUNNER-Blue-Running-Shoes-SDL608865492-6-3a4ca.jpg"
ASIAN - BOUNCER-04 Blue Men's Sports Running Shoes,625,"ASIAN,Color:Blue,Shoe Weight:Light Weight,Manufacturer's Name & Address:ASIAN,Sole Material:EVA,Closure:Lace-Up,Outer Material:Mesh,BIS/ISI License number:NA,BIS/ISI required:NA,BIS/ISI License number:NA,BIS/ISI required:NA,SUPC: SDL678339506","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1 PAIR  ,Manufacturer's Name & Address,ASIAN  ,Packer's Name & Address,ASIAN RETAIL VENTURES   ,Marketer's Name & Address, ,Importer's Name & Address,NA  ","
",The images represent actual product though color of the image and product may slightly differ.,"https://n2.sdlcdn.com/imgs/j/y/o/ASIAN-BOUNCER-04-Blue-Running-SDL678339506-4-4bd40.jpg,https://n1.sdlcdn.com/imgs/j/y/o/ASIAN-BOUNCER-04-Blue-Running-SDL678339506-6-b7ba5.jpg,https://n2.sdlcdn.com/imgs/j/y/o/ASIAN-BOUNCER-04-Blue-Running-SDL678339506-5-4e136.jpg,https://n1.sdlcdn.com/imgs/k/k/y/ASIAN-BOUNCER-04-Blue-Men-SDL678339506-5-7c5b7.jpg,https://n1.sdlcdn.com/imgs/k/k/y/ASIAN-BOUNCER-04-Blue-Men-SDL678339506-6-f51d0.jpeg"
Liberty KYLA       Running Shoes Black,799,"Model Name:KYLA,Color:Black,Running Type:Track,Seniority Level:Adults,Gender:Male,Runner Type:All,Sole Material:EVA,Upper Material:Mesh/Textile,SUPC: SDL241311604","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1  ,Manufacturer's Name & Address,Liberty Puram PLOT N0-102, G.T ROAD, BASTARA KUTAIL -132114 (HARAYANA )  ,Packer's Name & Address,Liberty Shoes Limited, Central Warehouse (CWH), Chautala Road, Village Risalu,Panipat-132103 (Haryana)  ,Marketer's Name & Address, ,Importer's Name & Address,Liberty Puram PLOT N0-102, G.T ROAD, BASTARA KUTAIL -132114 (HARAYANA )  ","
",The images represent actual product though color of the image and product may slightly differ.,"https://n3.sdlcdn.com/imgs/j/v/8/Liberty-KYLA-Running-Shoes-Black-SDL241311604-2-5e62c.jpg,https://n1.sdlcdn.com/imgs/j/v/8/Liberty-KYLA-Running-Shoes-Black-SDL241311604-3-7ca76.jpg,https://n3.sdlcdn.com/imgs/j/v/8/Liberty-KYLA-Running-Shoes-Black-SDL241311604-4-5ff9a.jpg,https://n3.sdlcdn.com/imgs/j/v/8/Liberty-KYLA-Running-Shoes-Black-SDL241311604-5-aa3f7.jpg,https://n4.sdlcdn.com/imgs/j/v/8/Liberty-KYLA-Running-Shoes-Black-SDL241311604-6-3092d.jpg,https://n1.sdlcdn.com/imgs/j/v/8/Liberty-KYLA-Running-Shoes-Black-SDL241311604-7-e82a6.jpg"
Impakto - Black Men's Sports Running Shoes,1999,"Impakto,Color:Black,Manufacturer's Name & Address:Ajanta Footcare India Pvt Ltd(79/2,A.J.C Bose Road,Kolkata-700014),Closure:Lace-Up,Outer Material:Mesh,Pack:Pack of 1,SUPC: SDL647453989","Country of Origin or Manufacture or Assembly,India  ,Common or Generic Name of the commodity,Sports Fashion -Running Shoes ,Net Contents,1  ,Manufacturer's Name & Address,Ajanta Footcare India Pvt Ltd(79/2,A.J.C Bose Road,Kolkata-700014)  ,Packer's Name & Address,Ajanta Footcare India Pvt Ltd(79/2,A.J.C Bose Road,Kolkata-700014)  ,Marketer's Name & Address, ,Importer's Name & Address,Ajanta Footcare India Pvt Ltd(79/2,A.J.C Bose Road,Kolkata-700014)  ","
",The images represent actual product though color of the image and product may slightly differ.,"https://n1.sdlcdn.com/imgs/k/j/h/Impakto-Black-Men-s-Sports-SDL647453989-2-43cfe.jpg,https://n3.sdlcdn.com/imgs/k/j/h/Impakto-Black-Men-s-Sports-SDL647453989-3-ac8a3.jpg,https://n3.sdlcdn.com/imgs/k/j/h/Impakto-Black-Men-s-Sports-SDL647453989-4-cc663.jpg,https://n3.sdlcdn.com/imgs/k/j/h/Impakto-Black-Men-s-Sports-SDL647453989-5-b37cc.jpg,https://n1.sdlcdn.com/imgs/k/j/h/Impakto-Black-Men-s-Sports-SDL647453989-6-42492.jpg"
